Timestamp,Latitude,Longitude,Untitled Question
Universitat Osnabruck,52.271345,8.044227,
Furtwangen University,48.051294,8.207788,
"University Of Cologne
 Faculty of Management, Economics and Social Sciences",50.928263,6.929361,
WHU Otto Beishein School of Management,50.400325,7.613507,
Universitat Frankfurt am Main Economics and Business,50.127068,8.667764,
"Universitat Munster,
 School Business and Economics",51.961840,7.619727,
"Universitat Munster, Faculty of Law",51.963581,7.613255,
Freie Universitat Berlin,52.454325,13.293477,
Hamburg University of Technology,53.461156,9.969141,
Universidad Torcuato di Tella Escuela de Negocios,-34.548006,-58.446944,
WU Vienna University Economics and Business,48.213427,16.408467,
University of Technology Sydney,-33.883238,151.200494,
Macquarie University,-33.773824,151.112650,
Universidade de Sao Pablo,-23.561399,-46.730789,
Universite Catholique Louvain School of Management,50.668417,4.612664,
"KU Leuven
 Business and Economics",50.877954,4.700295,
Carleton University,45.387581,-75.696020,
"University of Victoria
 Peter Gustavson School of Business",48.465183,-123.313258,
HEC Montreal,45.503549,-73.621117,
"Universite Laval I FSA
 Faculty of Business Administration",46.783388,-71.273938,
"York University
 Schulich School of Business",43.773227,-79.498257,
Queen' s University Smith School of Business,44.228175,-76.497733,
Universite du Quebec a Montreal Business School,45.503549,-73.621117,
City University of Hong Kong,22.336679,114.172423,
"Hong Kong Baptist University 
 School of Business",22.340809,114.179876,
"Escuela Colombiana de lngenieria
 Bogota
 Julio Garavito",4.782715,-74.042611,
Universidad de los Andes,4.601458,-74.066133,
Universidad ICESI,3.341895,-76.530602,
Universidad Javeriana,4.628487,-74.064664,
Kyung Hee University,37.596277,127.052657,
Copenhagen Business School,55.681565,12.529694,
University of Strathclyde Business School,55.862111,-4.242393,
Universidad de Deusto Business School,43.271245,-2.938558,
Universidad de Deusto Facultad de Derecho,43.271245,-2.938558,
Universidad Aut6noma de Madrid,40.423372,-3.707792,
Universidad Autonoma de Barcelona Economfa y Empresas,41.502142,2.103854,
Universitat Pompeu Fabra Facultad de Derecho,41.378967,2.179794,
Universidad de Burgos,42.341286,-3.730690,
Universidad de Jaen,37.788403,-3.777217,
Universidad de Leon,42.593062,-5.575975,
Universitat de Lleida,41.614765,0.619617,
Universidad de Oviedo,43.362252,-5.848546,
Universidad del Pais Vasco,43.331406,-2.970606,
Universitat Internacional de Catalunya,41.405717,2.123540,
Universitat de Valencia,39.479051,-0.359087,
ESIC Business & Marketing School,41.396159,2.145918,
"CEU San Pablo
 School Business and Administration",40.442662,-3.717705,
Universitat Rovira I Virgili,41.119652,1.260503,
IE University,40.952885,-4.118836,
Universidad de Alicante,38.385245,-0.514316,
Universidade da Coruiia,43.362344,-8.411540,
Universitat de Girona,41.985703,2.827201,
Aalto University School of Economics,60.186241,24.822552,
"HEC Paris
 School of Management",48.757078,2.168797,
Toulouse Business School,43.609523,1.430823,
SciencePo,48.853859,2.328996,
Kedge Business School,44.796333,-0.600977,
Universite Paris Dauphine,48.870142,2.273620,
Universidad Francisco Marroquin,14.606879,-90.505419,
Durham University Business School,54.764132,-1.586016,
University of Kent,51.296740,1.063004,
University of Exeter,50.737137,-3.535148,
Northumbria University Newcastle Business School,54.976903,-1.607164,
University of Liverpool,53.404782,-2.965299,
College of Management Academic Studies,31.969738,34.772787,
Luiss Guido Carli University,41.924490,12.493939,
Universita Commerciale Luigi Bocconi,45.448574,9.189945,
Akita International University,39.626700,140.198141,
TEC Monterrey,25.651565,-100.289540,
Bl Norwegian Business School,59.948402,10.768557,
"Tilburg University
 School of Economics and Management",51.562837,5.042379,
"Radboud University
 Nijmegen School of Management",51.822019,5.863819,
"Erasmus University I RSM
 Rotterdam School of Management",51.915645,4.526216,
Erasmus University College,51.922754,4.487658,
Universidad del Pacifico,-12.083797,-77.048806,
"Catolica Lisbon
 School of Business and Economic",38.748831,-9.164930,
Singapore Management University,1.296273,103.850158,
Linkoping University,58.397836,15.576007,
"Universitat St Gallen Management, Economics and Social Sciences",47.432158,9.375567,
Universitat Zurich,47.374322,8.550981,
KOC University,41.205430,29.072412,
Arizona State University,34.048928,-111.093731,
Babson College,42.296442,-71.265708,
North Carolina State University,35.784663,-78.682095,
St. Edward ' s University,30.232729,-97.757668,
San Diego State University,32.777379,-117.071439,
Texas State University,29.888411,-97.938351,
"University of Florida I
 School of Business Administration",27.664827,-81.515754,
The University of Montana,46.860067,-113.985208,
American University,38.937985,-77.088869,
Emory University Goizueta Business School,33.790054,-84.321761,
California State University Los Angeles,34.066770,-118.168439,
